id,name
097203000,KATIPUNAN
097204000,LA LIBERTAD
097205000,LABASON
097206000,LILOY
097207000,MANUKAN
097208000,MUTIA
097209000,PIÑAN (NEW PIÑAN)
097210000,POLANCO
097211000,PRES. MANUEL A. ROXAS
097212000,RIZAL
097213000,SALUG
097214000,SERGIO OSMEÑA SR.
097215000,SIAYAN
097216000,SIBUCO
097217000,SIBUTAD
097218000,SINDANGAN
097219000,SIOCON
097220000,SIRAWAI
097221000,TAMPILISAN
097222000,JOSE DALMAN (PONOT)
097223000,GUTALAC
097224000,BALIGUIAN
097225000,GODOD
097226000,BACUNGAN (Leon T. Postigo)
097227000,KALAWIT
