id,name,urban_rural,population
184618001,Alangilan,Rural,4361
184618002,Amio,Rural,2118
184618003,Buenavista,Rural,990
184618004,Kabulacan,Rural,2480
184618006,Caigangan,Rural,1386
184618008,Caranoche,Rural,3913
184618009,Cawitan,Rural,5809
184618010,Fatima,Rural,1317
184618011,Mabuhay,Rural,1847
184618012,Manalongon,Rural,4842
184618013,Mansagomayon,Rural,1011
184618014,Milagrosa,Rural,3385
184618015,Nagbinlod,Rural,3012
184618016,Nagbalaye,Rural,4957
184618017,Obat,Rural,2599
184618019,Poblacion,Urban,12515
184618020,San Francisco,Rural,4052
184618021,San Jose,Rural,2539
184618022,San Miguel,Rural,1282
184618023,San Pedro,Rural,3319
184618024,Santo Rosario,Rural,1315
184618025,Talalak,Rural,4257
