id,name
18,NIR - Negros Island Region
13,NCR - National Capital Region
14,CAR - Cordillera Administrative Region
01,REGION I (Ilocos Region)
02,REGION II (Cagayan Valley)
03,REGION III (Central Luzon)
04,REGION IV-A (CALABARZON)
17,REGION IV-B (MIMAROPA)
05,REGION V (Bicol Region)
06,REGION VI (Western Visayas)
07,REGION VII (Central Visayas)
08,REGION VIII (Eastern Visayas)
09,REGION IX (Zamboanga Peninsula)
10,REGION X (Northern Mindanao)
11,REGION XI (Davao Region)
12,REGION XII (Soccsksargen)
16,REGION XIII (Caraga)
15,ARMM - Autonomous Region in Muslim Mindanao
